GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P002001,P002001.2000,P002002,P002002.2000,P002003,P002003.2000,P002004,P002004.2000,P002005,P002005.2000,P002006,P002006.2000
36003,050,36,003,99999,999,,,Allegany County,48946,26140,49927,24505,48946,49927,0,0,0,0,0,0,0,0,48946,49927
36005,050,36,005,35620,408,,,Bronx County,1385108,511896,1332650,490659,1385108,1332650,0,0,0,0,0,0,0,0,1385108,1332650
36007,050,36,007,13780,999,,,Broome County,200600,90563,200536,88817,200600,200536,0,0,0,0,0,0,0,0,200600,200536
36009,050,36,009,36460,160,,,Cattaraugus County,80317,41111,83955,39839,80317,83955,0,0,0,0,0,0,0,0,80317,83955
36011,050,36,011,12180,532,,,Cayuga County,80026,36489,81963,35477,80026,81963,0,0,0,0,0,0,0,0,80026,81963
36013,050,36,013,27460,999,,,Chautauqua County,134905,66920,139750,64900,134905,139750,0,0,0,0,0,0,0,0,134905,139750
36015,050,36,015,21300,999,,,Chemung County,88830,38369,91070,37745,88830,91070,0,0,0,0,0,0,0,0,88830,91070
36017,050,36,017,99999,999,,,Chenango County,50477,24710,51401,23890,50477,51401,0,0,0,0,0,0,0,0,50477,51401
36019,050,36,019,38460,999,,,Clinton County,82128,35888,79894,33091,82128,79894,0,0,0,0,0,0,0,0,82128,79894
36021,050,36,021,26460,104,,,Columbia County,63096,32775,63094,30207,63096,63094,0,0,0,0,0,0,0,0,63096,63094
36023,050,36,023,18660,296,,,Cortland County,49336,20577,48599,20116,49336,48599,0,0,0,0,0,0,0,0,49336,48599
36025,050,36,025,99999,999,,,Delaware County,47980,31222,48055,28952,47980,48055,0,0,0,0,0,0,0,0,47980,48055
36027,050,36,027,39100,408,,,Dutchess County,297488,118638,280150,106103,297488,280150,0,0,0,0,0,0,0,0,297488,280150
36029,050,36,029,15380,160,,,Erie County,919040,419974,950265,415868,919040,950265,0,0,0,0,0,0,0,0,919040,950265
36031,050,36,031,99999,999,,,Essex County,39370,25603,38851,23115,39370,38851,0,0,0,0,0,0,0,0,39370,38851
36037,050,36,037,12860,464,,,Genesee County,60079,25589,60370,24190,60079,60370,0,0,0,0,0,0,0,0,60079,60370
36039,050,36,039,99999,999,,,Greene County,49221,29210,48195,26544,49221,48195,0,0,0,0,0,0,0,0,49221,48195
36043,050,36,043,46540,999,,,Herkimer County,64519,33381,64427,32026,64519,64427,0,0,0,0,0,0,0,0,64519,64427
36045,050,36,045,48060,999,,,Jefferson County,116229,57966,111738,54070,116229,111738,0,0,0,0,0,0,0,0,116229,111738
36047,050,36,047,35620,408,,,Kings County,2504700,1000293,2465326,930866,2504700,2465326,0,0,0,0,0,0,0,0,2504700,2465326
36049,050,36,049,99999,999,,,Lewis County,27087,15112,26944,15134,27087,26944,0,0,0,0,0,0,0,0,27087,26944
36051,050,36,051,40380,464,,,Livingston County,65393,27123,64328,24023,65393,64328,0,0,0,0,0,0,0,0,65393,64328
36053,050,36,053,45060,532,,,Madison County,73442,31757,69441,28646,73442,69441,0,0,0,0,0,0,0,0,73442,69441
36055,050,36,055,40380,464,,,Monroe County,744344,320593,735343,304388,744344,735343,0,0,0,0,0,0,0,0,744344,735343
36057,050,36,057,11220,104,,,Montgomery County,50219,23063,49708,22522,50219,49708,0,0,0,0,0,0,0,0,50219,49708
36059,050,36,059,35620,408,,,Nassau County,1339532,468346,1334544,458151,1339532,1334544,0,0,0,0,0,0,0,0,1339532,1334544
36063,050,36,063,15380,160,,,Niagara County,216469,99120,219846,95715,216469,219846,0,0,0,0,0,0,0,0,216469,219846
